 phys1:  dp =  -0.30, dl =  -0.30, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.09, dl =  -0.15, dh =   0.06,  ACCEPT!
 merge:  dp =   0.19, dl =   0.00, dh =   0.19,  ACCEPT!
 split:  dp =   0.67, dl =   0.00, dh =   0.67,  reject!
  int2:  dp =  -0.09, dl =   0.00, dh =  -0.09,  ACCEPT!
 merge:  dp =  76.56, dl =  75.01, dh =   1.55,  reject!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   4.44, dl =   5.42, dh =  -0.98,  reject!
 split:  dp =   0.67, dl =   0.00, dh =   0.67,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.84, dl =   0.00, dh =   0.84,  ACCEPT!
 split:  dp =  -0.83, dl =  -0.00, dh =  -0.83,  ACCEPT!
 split:  dp =   2.47, dl =   0.00, dh =   2.47,  reject!
  int1:  dp =   0.07, dl =   0.00, dh =   0.07,  ACCEPT!
 phys1:  dp =  -0.07, dl =  -0.07, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.94, dl =  -0.94, dh =  -0.00,  ACCEPT!
 split:  dp =   0.71, dl =  -0.02, dh =   0.73,  ACCEPT!
  int1:  dp =   0.00, dl =   0.00, dh =   0.00,  ACCEPT!
 split:  dp =  -0.28, dl =   0.00, dh =  -0.28,  ACCEPT!
 merge:  dp =   1.27, dl =   0.01, dh =   1.26,  reject!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.04, dl =   0.00, dh =  -0.04,  ACCEPT!
  int2:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
  int1:  dp =   0.00, dl =  -0.00, dh =   0.00,  ACCEPT!
 split:  dp =  -1.09, dl =   0.00, dh =  -1.09,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   1.09, dl =   0.00, dh =   1.09,  reject!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   1.29, dl =   0.00, dh =   1.29,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.44, dl =  -0.00, dh =   0.44,  reject!
 merge:  dp =   0.51, dl =  -0.00, dh =   0.52,  ACCEPT!
